Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Breaded brains Puerto Rican style,10.14,17.35,0.5,0.020958333,0.171,0.276,3.013,0.114,0.028,0.00563,6.3,0.0005,2.01,0.0004,57,249,16,2.22,0.94,0.156,0.0000205,217,318,0
Stewed seasoned ground beef and pork with potatoes Mexican style,12.84,4.19,0.6,0.001166667,0.141,0.132,3.165,0.257,0.006,0.00067,5.8,0.0002,0.16,0.0017,17,134,19,1.16,2.13,0.075,0.0000158,305,193,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; no sauce,6.93,13.46,1.8,0.004458333,0.081,0.054,1.841,0.257,0.015,0.0003,9.4,0,0.76,0.0177,14,68,18,0.78,1.16,0.126,0.000006,280,313,0
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; no sauce,6.97,14.97,1.7,0.000166667,0.079,0.058,1.939,0.251,0.014,0.0003,5.3,0,0.49,0.0101,12,71,21,0.78,1.19,0.125,0.000006,287,305,0
Corned beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; no sauce,4.76,13.73,1.8,0.0045,0.074,0.056,1.445,0.23,0.015,0.0003,9.6,0,0.6,0.0167,15,56,17,0.66,1.07,0.143,0.0000063,264,318,0
Corned beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; no sauce,4.84,15.35,1.7,0.000166667,0.072,0.061,1.553,0.224,0.014,0.0003,5.4,0,0.26,0.0083,12,60,20,0.67,1.1,0.142,0.0000063,273,312,0
Beef stew with potatoes and vegetables including carrots broccoli and/or dark-green leafy; tomato-based sauce,5.23,8.24,1.2,0.001708333,0.082,0.06,1.342,0.124,0.013,0.00043,3.3,0,0.29,0.0061,14,57,12,1.75,1.19,0.11,0.0000055,206,304,0
Beef stew with potatoes and vegetables excluding carrots broccoli and dark-green leafy; tomato-based sauce,6.64,8.48,1.3,0.000208333,0.094,0.068,1.676,0.168,0.012,0.00038,6.5,0,0.27,0.0051,15,77,16,0.97,1.51,0.077,0.0000069,246,217,0
Beef stew with potatoes and vegetables including carrots broccoli and/or dark-green leafy; gravy,6.22,8.58,1.4,0.003125,0.055,0.065,1.604,0.162,0.013,0.00036,5.6,0,0.27,0.0059,15,74,16,0.89,1.43,0.073,0.0000064,247,201,0
Beef stew with potatoes and vegetables excluding carrots broccoli and dark-green leafy; gravy,6.77,8.46,1.2,0.000125,0.055,0.066,1.672,0.165,0.012,0.0004,5.7,0,0.23,0.0051,13,78,16,0.95,1.55,0.075,0.000007,239,215,0
Shepherd's pie with beef,6.35,14.1,1.4,0.022041667,0.078,0.055,1.753,0.242,0.009,0.00025,6.7,0.0002,0.39,0.005,16,66,18,0.76,1.12,0.146,0.0000061,294,248,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; gravy,5.23,11.17,1.4,0.00325,0.065,0.053,1.414,0.194,0.012,0.00022,6.9,0,0.9,0.0162,13,55,14,0.59,0.87,0.097,0.0000045,215,302,0
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; gravy,5.3,12.36,1.3,0.000125,0.064,0.057,1.497,0.191,0.011,0.00022,3.9,0,0.61,0.0098,11,57,16,0.6,0.9,0.097,0.0000045,221,312,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; cream sauce white sauce or mushroom sauce,5.28,11.13,1.4,0.008208333,0.062,0.052,1.336,0.182,0.011,0.00025,6.4,0.0001,0.88,0.0192,23,60,14,0.57,0.85,0.091,0.0000049,217,307,0
