Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Pie raspberry two crust,2.71,36.35,3.8,0.013625,0.144,0.112,1.352,0.035,0.033,0,11,0,1.24,0.0111,16,37,16,1.31,0.35,0.072,0.0000071,91,205,0
Pie rhubarb two crust,3.39,36.53,1.5,8.33E-05,0.193,0.144,1.665,0.021,0.039,0,2.6,0,1.05,0.0198,38,38,11,1.47,0.25,0.053,0.0000105,136,276,0
Pie strawberry one crust,2.29,34.55,1.8,4.17E-05,0.127,0.096,1.173,0.036,0.032,0,30,0,0.76,0.0063,13,35,12,1.11,0.22,0.055,0.0000065,107,169,0
Pie strawberry-rhubarb two crust,3.17,35.5,1.6,4.17E-05,0.182,0.134,1.591,0.028,0.04,0,14.2,0,1,0.0136,24,39,12,1.44,0.25,0.057,0.0000096,116,255,0
Pie strawberry individual size or tart,2.82,36.26,1.7,0,0.162,0.119,1.446,0.035,0.038,0,26.3,0,0.92,0.0077,13,39,13,1.34,0.24,0.06,0.0000083,103,221,0
Pie apple-sour cream,1.85,29.87,1.3,0.015708333,0.095,0.097,0.769,0.036,0.017,0.00001,2.2,0,0.5,0.0042,27,32,8,0.74,0.17,0.046,0.000005,99,158,0
Pie cherry made with cream cheese and sour cream,3.13,39.66,0.6,0.0755,0.063,0.14,0.507,0.041,0.016,0.00009,0.7,0.0001,0.61,0.0034,38,52,8,1.02,0.29,0.047,0.0000066,87,80,0
Pie banana cream,4.4,32.9,0.7,0.061541667,0.139,0.207,1.054,0.133,0.027,0.00025,1.6,0.0008,0.4,0.0063,75,92,16,1.04,0.48,0.052,0.0000091,165,240,0
Pie banana cream individual size or tart,4.52,31.01,1.1,0.039625,0.136,0.188,1.102,0.116,0.029,0.00019,1.5,0.0006,0.69,0.005,59,83,16,1.04,0.44,0.049,0.0000098,164,191,0
Pie buttermilk,4.14,51.48,0.4,0.028125,0.105,0.173,0.798,0.036,0.025,0.00013,0.2,0.0003,1.18,0.0088,39,66,8,0.98,0.4,0.037,0.0000102,73,172,0
Pie chess,5.31,53.34,0.9,0.133416667,0.108,0.213,0.849,0.055,0.031,0.00022,0,0.0007,0.62,0.0044,25,78,8,1.23,0.49,0.046,0.0000141,65,235,0
Pie chocolate cream,4.15,38.44,0.8,0.046916667,0.087,0.14,0.605,0.02,0.019,0.00012,0,0.0001,1.09,0.0095,66,79,19,1.49,0.44,0.118,0.000006,161,266,56
Pie chocolate cream individual size or tart,5.3,36.08,1.5,0.013583333,0.17,0.214,1.296,0.035,0.036,0.00019,0,0.0002,0.72,0.0058,74,110,29,2.14,0.99,0.227,0.0000115,152,259,74
Pie coconut cream,2.1,37.3,1.3,0.028125,0.05,0.08,0.2,0.068,0.007,0.00012,0,0.0002,0.15,0.0053,29,85,20,0.8,0.47,0.068,0.0000053,65,204,0
Pie coconut cream individual size or tart,5.45,25.37,0.8,0.022958333,0.134,0.238,0.984,0.046,0.03,0.00025,0.1,0.0003,0.7,0.0047,79,105,13,1.14,0.56,0.057,0.0000121,135,229,0
Pie custard,5.5,20.8,1.6,0.059375,0.039,0.208,0.292,0.048,0.02,0.00043,0.6,0.0008,0.94,0.0032,80,112,11,0.58,0.52,0.024,0.0000071,106,275,0
Pie custard individual size or tart,5.74,26.41,0.5,0.025,0.139,0.256,1.023,0.048,0.031,0.00027,0,0.0003,0.36,0.0017,87,110,13,1.12,0.57,0.046,0.0000125,135,381,0
Mixed fruit tart filled with custard or cream cheese,3.54,20.7,1.4,0.060041667,0.07,0.12,0.722,0.065,0.024,0.00016,18,0.0005,0.61,0.0067,57,73,12,0.66,0.38,0.059,0.0000047,157,116,0
Dessert pizza,1.87,32.31,1.7,0.011625,0.062,0.084,1.08,0.045,0.028,0,23.8,0,0.89,0.0133,21,47,13,0.9,0.42,0.115,0.0000015,119,130,0
Pie lemon cream,4.61,38.51,0.4,0.056333333,0.101,0.206,0.691,0.047,0.023,0.0003,3.1,0.0003,0.9,0.007,68,89,10,0.85,0.47,0.037,0.00001,114,236,0
Pie lemon cream individual size or tart,4.68,38.6,0.5,0.050125,0.119,0.209,0.902,0.045,0.026,0.00027,2.8,0.0003,0.98,0.0078,62,85,10,1.01,0.46,0.041,0.0000108,108,261,0
Pie peanut butter cream,7.73,34.04,1.1,0.051041667,0.163,0.226,2.648,0.109,0.037,0.00033,0,0.0008,1.61,0.0035,88,139,33,1.24,0.81,0.086,0.0000107,193,310,0
Pie pineapple cream,3.77,28.9,0.5,0.034375,0.122,0.154,0.862,0.047,0.023,0.00016,1.1,0.0005,0.48,0.0034,49,66,11,0.92,0.37,0.047,0.0000085,97,135,0
Pie pumpkin,3.9,34.83,1.8,0.352666667,0.177,0.124,1.107,0.063,0.026,0.00035,0,0.0001,0.76,0.0132,64,81,14,0.9,0.39,0.148,0.0000054,167,239,0
Pie pumpkin individual size or tart,3.9,34.83,1.8,0.352666667,0.177,0.124,1.107,0.063,0.026,0.00035,0,0.0001,0.76,0.0132,64,81,14,0.9,0.39,0.148,0.0000054,167,239,0
Pie sour cream raisin,5.06,34.12,1.5,0.087625,0.167,0.231,1.35,0.068,0.034,0.00012,0.6,0.0003,1.2,0.0097,63,93,18,1.56,0.48,0.095,0.0000118,218,255,0
Pie squash,4,26.64,1.3,0.042,0.1,0.17,0.84,0.09,0.024,0.00019,2.5,0.0006,0.54,0.0049,65,77,13,0.93,0.45,0.054,0.0000079,168,166,0
Pie strawberry cream,1.65,26.27,1.1,0.070875,0.069,0.082,0.632,0.028,0.022,0.00003,23.8,0.0003,0.55,0.0038,20,29,9,0.61,0.16,0.038,0.0000038,88,82,0
Pie strawberry cream individual size or tart,2.23,28.7,1.1,0.0615,0.109,0.105,0.955,0.028,0.029,0.00002,20.8,0.0002,0.72,0.0054,19,34,9,0.88,0.19,0.044,0.0000059,84,77,0
Pie sweet potato,3.26,29.03,1.9,0.142333333,0.074,0.141,0.699,0.107,0.014,0.00008,6.1,0.0006,0.84,0.0039,44,56,15,0.98,0.33,0.072,0.0000062,169,191,0
Pie vanilla cream,4.8,32.6,0.6,0.084458333,0.139,0.216,0.984,0.049,0.026,0.0003,0.5,0.0012,0.45,0.0067,90,104,13,1.02,0.53,0.039,0.0000095,126,260,0
Pie chiffon not chocolate,6.66,40.09,0.5,0.055208333,0.118,0.225,0.907,0.065,0.034,0.00023,4.2,0.0007,0.89,0.0046,23,84,9,1.38,0.55,0.073,0.0000162,75,203,0
Pie chiffon chocolate,6.39,41.34,1.4,0.056291667,0.118,0.194,0.936,0.049,0.031,0.00018,0,0.0006,0.96,0.0066,24,90,25,2.17,0.97,0.241,0.0000142,98,202,70
Pie black bottom,5.48,37.44,1.2,0.141833333,0.068,0.205,0.856,0.065,0.022,0.00022,0.1,0.001,0.96,0.0058,81,103,31,2.55,0.84,0.22,0.0000069,211,214,47
Pie lemon meringue,1.5,47.2,1.2,0.053125,0.062,0.209,0.649,0.03,0.024,0.00017,3.2,0.0002,1.06,0.0021,56,105,15,0.61,0.49,0.001,0.000003,89,172,0
Pie lemon meringue individual size or tart,1.5,47.2,1.2,0.053125,0.062,0.209,0.649,0.03,0.024,0.00017,3.2,0.0002,1.06,0.0021,56,105,15,0.61,0.49,0.001,0.000003,89,172,0
Pie chocolate-marshmallow,4.61,47.26,1.6,0.095,0.086,0.182,0.796,0.046,0.018,0.00035,0,0.0005,1.23,0.0123,103,123,30,1.35,0.97,0.196,0.0000032,188,186,68
Pie pecan,4.5,59.61,2.1,0.052125,0.204,0.078,1.31,0.038,0.032,0.00012,0,0.0001,0.8,0.0155,22,83,22,0.93,0.87,0.184,0.000007,99,275,0
Pie pecan individual size or tart,4.5,59.61,2.1,0.052125,0.204,0.078,1.31,0.038,0.032,0.00012,0,0.0001,0.8,0.0155,22,83,22,0.93,0.87,0.184,0.000007,99,275,0
Pie oatmeal,5.12,59.91,1.4,0.084541667,0.161,0.164,0.913,0.045,0.028,0.00014,0,0.0006,1.32,0.0107,23,90,20,1.42,0.86,0.072,0.0000138,77,242,0
Pie pudding flavors other than chocolate,2.85,29.85,0.5,0.001041667,0.123,0.129,0.953,0.021,0.023,0.00011,0.1,0,0.77,0.0052,39,49,7,0.87,0.24,0.038,0.0000058,67,288,0
Pie Toll house chocolate chip,5.86,44.68,2.3,0.2005,0.177,0.173,1.242,0.101,0.042,0.0001,0.2,0.0002,2.71,0.0261,33,107,46,2.03,0.92,0.352,0.000011,165,309,83
Pie shoo-fly,3.93,60.6,0.9,0.0125,0.193,0.16,1.77,0.195,0.039,0.00005,0,0.0002,0.72,0.0055,79,54,68,2.77,0.38,0.178,0.0000166,426,211,0
Pie tofu with fruit,4.78,22.06,0.8,0.10025,0.047,0.084,0.666,0.059,0.029,0.00006,10.2,0.0006,1.24,0.0129,71,79,20,1.06,0.52,0.103,0.0000063,123,169,0
Pie shell,6.5,56.24,3.3,0,0.3,0.155,3.45,0.045,0.068,0,0,0,0.54,0.0078,21,82,17,2.8,0.51,0.097,0.0000068,114,467,0
Pie shell graham cracker,5.1,64.3,1.9,0,0.184,0.213,3.22,0.076,0.065,0,0,0,1.85,0.0218,29,117,23,2.6,1.25,0.223,0.0000026,113,471,0
Pie shell chocolate wafer,6.08,64.48,2.7,0,0.336,0.265,3.073,0.043,0.072,0,0,0,1.79,0.0182,32,120,40,4.3,2.1,0.77,0.0000025,187,503,100
Vanilla wafer dessert base,3.7,50.2,0.1,0.264208333,0.189,0.229,2.113,0.052,0.049,0.00009,0.1,0.0005,3.06,0.034,42,78,10,1.63,0.24,0.068,0.0000077,79,515,0
Blintz cheese-filled,9.06,20.09,0.4,0.085541667,0.106,0.245,0.765,0.062,0.03,0.00042,0,0.0004,0.66,0.0043,115,157,11,1.02,0.59,0.048,0.0000149,117,430,0
Blintz fruit-filled,5.57,24.74,0.7,0.080791667,0.075,0.181,0.557,0.064,0.019,0.00029,0.6,0.0007,0.67,0.0046,54,91,10,1.23,0.45,0.054,0.0000099,116,190,0
Cobbler apple,2.31,36.38,0.9,0.004208333,0.104,0.116,0.815,0.025,0.019,0.00006,1.1,0,0.34,0.003,77,59,8,0.8,0.21,0.038,0.0000057,82,198,0
Cobbler apricot,2.64,35.71,1.8,0.008333333,0.103,0.098,1.075,0.044,0.02,0.00003,4.9,0.0001,0.87,0.0044,65,56,11,0.97,0.27,0.07,0.0000048,193,140,0
Cobbler berry,2.76,42.78,1.8,8.33E-05,0.137,0.13,1.193,0.037,0.026,0.00004,4.3,0,0.66,0.0135,82,63,9,1.14,0.28,0.059,0.0000069,81,199,0
Cobbler cherry,2.36,35.62,1.1,0.007083333,0.104,0.111,0.88,0.035,0.022,0.00003,1,0,0.49,0.004,69,51,9,1.68,0.19,0.066,0.0000054,90,201,0
Cobbler peach,2.48,38.42,1.4,0.0005,0.11,0.107,1.257,0.023,0.021,0.00003,1.8,0,0.74,0.0043,66,59,10,1.02,0.3,0.07,0.0000069,103,169,0
Cobbler pear,2.15,42.06,2.4,0.006291667,0.106,0.1,0.9,0.027,0.022,0.00003,1.9,0.0001,0.36,0.0052,70,54,9,0.92,0.22,0.071,0.0000055,100,163,0
Cobbler plum,2.28,38.28,1.3,0.006583333,0.109,0.096,1.013,0.027,0.02,0.00003,4.4,0.0001,0.44,0.0065,65,54,9,0.88,0.21,0.057,0.0000052,125,154,0
Cobbler rhubarb,2.37,46.74,1.3,0.029291667,0.11,0.102,0.967,0.022,0.022,0.00003,2.8,0.0002,0.64,0.0195,98,49,11,0.93,0.2,0.034,0.0000062,163,223,0
Crisp apple apple dessert,2.09,30.68,1.5,0.027208333,0.092,0.065,0.917,0.042,0.016,0,2.2,0.0001,0.38,0.0036,48,31,8,0.74,0.22,0.046,0.0000047,81,167,0
Fritter apple,6.46,34.75,1.3,0.054208333,0.186,0.262,1.45,0.077,0.038,0.0003,1.3,0.0008,1.58,0.0119,60,108,14,1.6,0.61,0.065,0.0000157,145,44,0
Fritter banana,5.05,34.42,2.1,0.05325,0.14,0.214,1.351,0.252,0.033,0.00021,3.9,0.0006,1.48,0.0116,43,85,26,1.25,0.5,0.081,0.0000114,279,46,0
Fritter berry,5.62,31.37,1.8,0.064666667,0.164,0.227,1.361,0.075,0.033,0.00025,3.5,0.0007,1.78,0.0215,51,91,13,1.44,0.57,0.07,0.000013,125,54,0
Crisp blueberry,1.87,40.87,1.9,0.097166667,0.104,0.093,0.954,0.038,0.02,0.00001,5,0.0005,1.46,0.0236,6,23,7,0.82,0.2,0.054,0.0000047,61,154,0
Crisp cherry,1.68,45.65,0.9,0.062291667,0.091,0.106,0.906,0.048,0.028,0.00004,0.9,0.0003,1.12,0.0088,81,116,7,1.36,0.13,0.058,0.0000012,62,343,0
Crisp peach,1.71,38.17,1.3,0.066375,0.078,0.068,1.057,0.031,0.016,0.00001,2.6,0.0003,1.23,0.0096,25,27,10,0.88,0.23,0.073,0.0000052,119,330,0
Cream puff eclair custard or cream filled NS as to icing,4.5,10.52,0.3,0.268916667,0.098,0.207,0.673,0.047,0.028,0.0002,0.2,0.001,0.79,0.0021,41,71,8,0.84,0.4,0.036,0.0000102,76,137,0
Cream puff eclair custard or cream filled not iced,4.92,12.49,0.4,0.229333333,0.118,0.212,0.83,0.05,0.034,0.00022,0.2,0.0008,0.75,0.0018,35,75,8,1.03,0.45,0.042,0.0000121,71,165,0
Cream puff eclair custard or cream filled iced,4.41,37.43,0.9,0.022958333,0.263,0.241,1.908,0.041,0.066,0.00017,0,0.0003,0.95,0.0067,35,71,10,0.95,0.45,0.06,0.0000155,68,265,0
Cream puff eclair custard or cream filled iced reduced fat,3.46,41.72,1,0.019791667,0.064,0.128,0.552,0.026,0.017,0.00009,0,0.0002,0.78,0.0066,50,99,14,1,0.36,0.101,0.0000085,66,262,39
Cream puff no filling or icing,9,22.8,0.8,0.286,0.206,0.36,1.567,0.075,0.053,0.00039,0,0.0014,2.85,0.0245,36,119,12,2.02,0.73,0.051,0.000024,97,483,0
Air filled fritter or fried puff without syrup Puerto Rican style,6.46,50.21,0.6,0.209791667,0.138,0.254,1.152,0.065,0.037,0.00028,0,0.0014,2.65,0.0236,25,91,10,1.61,0.59,0.061,0.0000178,73,587,0
Wheat flour fritter without syrup,7.64,19.5,0.7,0.248416667,0.167,0.293,1.361,0.077,0.044,0.00032,0,0.0016,3.63,0.0313,28,107,11,1.88,0.69,0.069,0.0000207,86,230,0
Sopaipilla without syrup or honey,5.49,40.93,1.4,0,0.317,0.236,2.822,0.021,0.063,0,0,0,1.22,0.0105,96,89,12,2.64,0.37,0.08,0.000018,58,898,0
Sopaipilla with syrup or honey,4.16,51.31,1.1,0,0.236,0.185,2.131,0.022,0.048,0,0.1,0,0.98,0.0085,73,68,10,2.07,0.33,0.069,0.0000136,56,670,0
Crepe NS as to filling,4.56,26.37,1.2,0.090791667,0.1,0.183,0.787,0.069,0.022,0.00026,3.8,0.0009,0.92,0.0128,50,80,10,0.93,0.48,0.052,0.0000097,111,179,0
Crepe chocolate filled,4.85,22.8,0.2,0.064625,0.086,0.182,0.601,0.051,0.018,0.00028,0.2,0.0006,0.54,0.0024,70,97,17,1.44,0.56,0.078,0.0000081,177,221,41
Crepe fruit filled,4.56,26.38,1.2,0.090791667,0.1,0.183,0.787,0.069,0.022,0.00026,3.8,0.0009,0.92,0.0128,50,80,10,0.93,0.48,0.052,0.0000097,111,179,0
Tamale sweet,2.22,35.61,2.3,0,0.177,0.108,1.354,0.112,0.017,0,0,0,0.77,0.0065,49,60,25,1.4,0.49,0.062,0.0000028,73,265,0
Tamale sweet with fruit,1.79,30.26,2.1,4.17E-05,0.136,0.088,1.052,0.137,0.014,0,1.9,0,0.53,0.0046,37,47,24,1.07,0.37,0.071,0.0000021,129,179,0
Strudel apple,3.3,41.1,2.2,0.00625,0.04,0.025,0.33,0.046,0.028,0.00022,1.7,0,1.42,0.0029,15,33,9,0.42,0.19,0.03,0.0000061,149,135,0
Strudel berry,3.46,46.11,2.5,0.0575,0.168,0.14,1.45,0.052,0.028,0.00006,5.4,0.0001,0.99,0.0183,26,43,11,1.32,0.36,0.077,0.0000083,82,150,0
Strudel cherry,4.23,43.14,1.8,0.046708333,0.162,0.133,1.242,0.082,0.031,0.00005,1,0.0001,0.68,0.0062,30,64,22,1.98,0.51,0.199,0.0000074,117,136,0
Strudel cheese,8,39.9,0.7,0.131375,0.155,0.326,1.199,0.071,0.028,0.00034,0.6,0.0003,0.68,0.0051,153,139,19,1.16,0.62,0.041,0.0000124,179,192,0
Strudel peach,3.14,38,1.9,0.048625,0.138,0.117,1.522,0.035,0.024,0.00005,2.9,0.0003,1.04,0.0075,21,45,12,1.2,0.38,0.087,0.0000083,110,133,0
Strudel cheese and fruit,5.51,31.27,0.9,0.086541667,0.147,0.229,0.951,0.09,0.02,0.00023,4.2,0.0002,0.46,0.0035,109,94,23,1,0.48,0.085,0.0000084,187,126,0
Baklava,5.62,38.58,2.1,0.15225,0.247,0.172,1.791,0.111,0.036,0.00004,1.3,0,0.83,0.0037,27,90,25,1.89,0.58,0.225,0.0000115,134,354,0
Basbousa,4.15,44.07,0.5,0.013541667,0.131,0.179,1.008,0.026,0.026,0.00015,0.2,0.0001,0.52,0.004,113,95,12,0.94,0.5,0.037,0.0000076,123,83,0
Turnover or dumpling apple,3.64,43.55,1.3,0.003166667,0.21,0.163,1.851,0.024,0.041,0,0.8,0,1.14,0.0099,8,41,9,1.64,0.26,0.061,0.0000118,62,324,0
Turnover or dumpling berry,3.77,45.37,1.9,4.17E-05,0.226,0.166,1.935,0.033,0.044,0,3.2,0,1.3,0.017,8,41,10,1.7,0.3,0.072,0.0000115,65,314,0
Turnover or dumpling cherry,3.27,39.97,1.3,0.005833333,0.184,0.145,1.557,0.031,0.038,0,0.7,0,1.06,0.009,10,35,9,2.01,0.23,0.074,0.0000095,75,278,0
Turnover or dumpling lemon,3.47,37,0.7,0.029208333,0.174,0.143,1.39,0.029,0.039,0.00008,2.1,0.0003,1.06,0.0083,12,47,7,1.37,0.3,0.048,0.0000116,40,284,0
Turnover or dumpling peach,3.95,43.34,1.6,0.000333333,0.214,0.167,2.137,0.023,0.042,0,1.2,0,1.32,0.01,8,47,11,1.77,0.34,0.082,0.0000127,84,336,0
Turnover guava,3.98,37.44,3.3,0.013,0.194,0.138,1.859,0.059,0.045,0.00001,76.1,0.0001,1.38,0.0104,16,49,17,1.37,0.3,0.138,0.0000093,211,136,0
Turnover pumpkin,5.56,25.5,1.6,0.044541667,0.149,0.239,1.261,0.053,0.034,0.00008,1.6,0.0008,1.2,0.012,98,112,21,1.69,0.55,0.08,0.0000101,201,140,0
Pastry fruit-filled,4.57,54.3,4.4,0.007958333,0.215,0.207,2.051,0.118,0.034,0.00003,0.9,0.0001,1.11,0.031,30,86,33,1.73,0.8,0.257,0.0000095,365,8,0
Pastry made with bean or lotus seed paste filling baked,6.8,67.71,2.7,0.019791667,0.267,0.233,2.05,0.049,0.086,0.00008,0.2,0.0002,0.39,0.0054,19,85,20,2.21,0.6,0.098,0.0000167,116,88,0
Pastry made with bean paste and salted egg yolk filling baked,8.38,57.1,2.2,0.082375,0.247,0.279,1.714,0.097,0.09,0.00034,0.2,0.0011,0.76,0.0046,38,137,18,2.31,0.89,0.095,0.0000234,115,547,0
Pastry Chinese made with rice flour,2.46,45.16,1.1,0,0.054,0.009,1,0.15,0.004,0,0,0,0.64,0.0001,20,48,22,0.39,0.44,0.09,0.000006,55,8,0
Pastry cookie type fried,5.79,35.42,1,0.113625,0.251,0.247,1.693,0.068,0.053,0.00033,1,0.0009,2.22,0.0189,73,111,12,1.55,0.6,0.055,0.0000146,120,77,0
Pastry Italian with cheese,7.38,34.86,0.8,0.084375,0.172,0.311,1.326,0.076,0.033,0.00049,0,0.0002,0.64,0.0007,145,131,20,1.23,0.56,0.049,0.0000116,184,67,9
Pastry puff,7.4,45.7,1.5,0,0.323,0.258,3.8,0.019,0.055,0,0,0,0.55,0.0163,10,60,16,2.6,0.54,0.115,0.0000245,62,253,0
Pastry puff custard or cream filled iced or not iced,5.86,29.89,0.8,0.10525,0.195,0.227,2.165,0.033,0.033,0.00012,0.1,0.0006,0.55,0.0098,45,73,13,1.55,0.48,0.07,0.0000159,90,166,0
Cheese pastry puffs,9.27,13.03,0.4,0.207625,0.115,0.289,0.895,0.057,0.033,0.00029,0,0.0012,1.7,0.014,122,138,12,1.24,0.98,0.051,0.0000192,81,557,0
Pastry mainly flour and water fried,7.75,59.25,3.7,0,0.45,0.268,4.167,0.057,0.08,0,0,0,1.25,0.0194,145,194,21,3.5,0.52,0.101,0.0000211,121,693,0
Empanada Mexican turnover fruit-filled,4.7,42.17,2.2,0.032333333,0.268,0.207,2.381,0.034,0.053,0.00001,1.4,0,0.94,0.0077,62,71,12,2.22,0.33,0.076,0.000015,90,418,0
Empanada  Mexican turnover pumpkin,4.57,41.7,2.1,0.01,0.249,0.198,2.295,0.037,0.052,0,1.2,0,1.04,0.0111,67,72,17,2.49,0.35,0.098,0.0000141,119,401,0
Breakfast pastry NFS,5.4,47.8,1.9,0.015625,0.263,0.22,1.992,0.043,0.047,0.00009,3.9,0,0.34,0.0053,46,89,15,1.77,0.54,0.065,0.0000148,83,445,0
Danish pastry plain or spice,7,44.6,1.3,0.00625,0.3,0.263,2.867,0.038,0.068,0.0001,0.1,0,0.39,0.0094,71,107,19,1.96,0.72,0.1,0.000017,125,414,0
Danish pastry with fruit,5.4,47.8,1.9,0.015625,0.263,0.22,1.992,0.043,0.047,0.00009,3.9,0,0.34,0.0053,46,89,15,1.77,0.54,0.065,0.0000148,83,445,0
Danish pastry with cheese,8,37.2,1,0.035458333,0.19,0.26,2,0.04,0.06,0.0002,0.1,0,0.35,0.0069,35,108,15,1.8,0.7,0.089,0.0000189,98,417,0
Doughnut NFS,5.52,49.52,1.8,0.004166667,0.336,0.232,2.648,0.041,0.096,0.00008,0.6,0,1.63,0.0103,69,178,16,2.36,0.54,0.086,0.0000125,113,378,0
Doughnut cake type plain,5.31,47.06,1.7,0.003166667,0.39,0.301,2.91,0.05,0.092,0.00006,0,0,1.99,0.0098,40,260,17,2.53,0.5,0.09,0.0000101,134,477,0
Doughnut chocolate,5.2,51.95,3.7,0.002125,0.293,0.297,2.324,0.045,0.071,0.00004,0,0,1.77,0.01,38,243,46,2.81,0.84,0.319,0.0000084,207,388,137
Doughnut cake type powdered sugar,4.9,51.12,1.6,0.003166667,0.36,0.279,2.686,0.046,0.085,0.00006,0,0,1.84,0.009,37,240,16,2.34,0.46,0.084,0.0000094,124,440,0
Doughnut cake type with icing,4.25,51.23,1.4,0.002125,0.314,0.301,2.372,0.04,0.075,0.00005,0,0,1.9,0.0104,33,212,14,2.06,0.41,0.072,0.0000081,114,418,0
Doughnut cake type chocolate icing,4.47,50.29,1.5,0.002125,0.315,0.244,2.352,0.041,0.074,0.00005,0,0,1.9,0.0078,34,224,18,2.31,0.46,0.112,0.0000082,146,418,16
Doughnut chocolate with chocolate icing,5.42,51.01,3.9,0.002125,0.294,0.24,2.303,0.046,0.07,0.00004,0,0,1.78,0.0074,39,255,50,3.06,0.88,0.359,0.0000085,239,388,153
Doughnut holes,5.52,49.52,1.8,0.004166667,0.336,0.232,2.648,0.041,0.096,0.00008,0.6,0,1.63,0.0103,69,178,16,2.36,0.54,0.086,0.0000125,113,378,0
Churros,6.05,48.87,2.6,0.005208333,0.305,0.182,2.567,0.038,0.106,0.00011,1.2,0.0001,1.42,0.0116,110,115,17,2.42,0.62,0.09,0.0000154,105,309,0
Beignet,5.46,53.69,1.9,0.004166667,0.277,0.167,2.32,0.033,0.096,0.0001,1.1,0.0001,1.27,0.0102,90,104,15,2.12,0.54,0.079,0.000014,91,281,0
Doughnut yeast type,6.14,47.93,2.1,0.005208333,0.312,0.185,2.61,0.037,0.108,0.00011,1.2,0.0001,1.43,0.0115,101,117,17,2.38,0.61,0.088,0.0000157,102,316,0
Doughnut yeast type with chocolate icing,5.13,50.98,1.9,0.004166667,0.252,0.151,2.112,0.031,0.087,0.00009,1,0.0001,1.46,0.0092,82,109,18,2.19,0.55,0.11,0.0000127,121,289,16
Doughnut jelly,4.94,52.33,1.9,0.004166667,0.25,0.153,2.095,0.034,0.087,0.00009,1.1,0.0001,1.14,0.0093,82,95,15,1.94,0.49,0.073,0.0000126,92,259,0
Doughnut custard-filled,5.2,42.86,1.7,0.004166667,0.253,0.162,2.099,0.033,0.087,0.00012,1,0.0001,1.2,0.0093,91,102,14,1.92,0.52,0.074,0.0000126,95,287,0
Doughnut custard-filled with icing,4.52,46.25,1.6,0.004166667,0.213,0.138,1.769,0.029,0.072,0.0001,0.8,0.0001,1.26,0.0078,77,98,16,1.84,0.48,0.095,0.0000106,112,270,13
Breakfast tart,4.01,71.83,1.8,0.210416667,0.519,0.495,6.174,0.495,0.09,0.00001,0,0,0.74,0.0194,12,71,11,4.35,0.36,0.062,0.0000034,86,311,0
Breakfast tart lowfat,3.99,76.8,1.5,0.296875,0.285,0.549,3.8,0.38,0.1,0,3.8,0,0.53,0.0004,44,93,44,3.42,0.28,0.073,0.0000129,66,361,0
Coffee cake crumb or quick-bread type,6.39,51.23,1.5,0.115708333,0.236,0.224,1.761,0.084,0.051,0.00015,0.1,0.0004,0.46,0.0013,135,137,26,1.99,0.71,0.195,0.0000138,126,336,0
Coffee cake crumb or quick-bread type with fruit,4.13,50.14,1.3,0.073,0.154,0.152,1.14,0.063,0.032,0.0001,0.9,0.0003,0.31,0.001,87,90,17,1.29,0.46,0.132,0.0000089,101,213,0
Coffee cake crumb or quick-bread type cheese-filled,6.72,45.02,1.3,0.119875,0.207,0.244,1.537,0.084,0.044,0.0002,0.1,0.0004,0.44,0.0013,151,143,25,1.72,0.7,0.167,0.0000127,144,304,0
Cereal or granola bar (General Mills Fiber One Chewy Bar),5,69.82,22.5,0,0.688,0.091,7.903,0.963,0.035,0,1.2,0,1.47,0.0026,250,419,190,0.9,1.96,0.262,0.0000089,447,237,24
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),4.22,67.61,3,0.628166667,1.153,2.067,19.267,1.833,0.014,0,7.8,0,0.93,0.0153,576,134,37,6.14,5.24,0.142,0.0000056,247,354,0
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),4.22,67.61,3,0.628166667,1.153,2.067,19.267,1.833,0.014,0,7.8,0,0.93,0.0153,576,134,37,6.14,5.24,0.142,0.0000056,247,354,0
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),9.38,66.72,7.5,0.277125,0.465,0.616,6.442,0.612,0.127,0.00116,0.2,0.0008,3.72,0.0012,65,290,105,5.65,3.28,0.436,0.0000113,328,195,0
Milk 'n Cereal bar,6.47,72.05,0.4,0.195833333,0.615,0.696,8.194,0.819,0.098,0.002,15.4,0.0017,0.42,0.0025,410,155,21,5.99,0.84,0.049,0.0000077,254,319,0
Cereal or granola bar (Kellogg's Special K bar),9.09,72.73,1.8,0,0.682,0.773,9.091,0.909,0.015,0,0,0,2.94,0.0012,31,136,46,2.56,1.78,0.185,0.0000249,143,428,0
Cereal or granola bar (Kashi Chewy),16.67,63.42,7.7,0.016708333,0.135,0.151,0.68,0.095,0.039,0.00016,0.4,0.0002,0.81,0.0036,103,255,321,1.62,1.4,0.382,0.0000113,429,321,31
Cereal or granola bar (Kashi Crunchy),18.57,53.26,11.4,0.001083333,0.115,0.289,1.158,0.063,0.045,0,0,0,7.14,0.0027,0,271,107,3.39,1.6,0.506,0.0000091,415,293,0
